Missing Mechanism,Imputation,Accuracy,Precision,Recall,F1
MAR,gan,0.7630 (±0.0089),0.7628 (±0.0089),0.7630 (±0.0089),0.7628 (±0.0089)
MAR,interpolated,0.9457 (±0.0035),0.9458 (±0.0035),0.9457 (±0.0035),0.9457 (±0.0035)
MAR,knn,0.7743 (±0.0081),0.7740 (±0.0082),0.7743 (±0.0081),0.7740 (±0.0081)
MAR,locf,0.9506 (±0.0008),0.9507 (±0.0008),0.9506 (±0.0008),0.9506 (±0.0008)
MCAR,gan,0.7419 (±0.0060),0.7416 (±0.0050),0.7419 (±0.0060),0.7404 (±0.0064)
MCAR,interpolated,0.9363 (±0.0021),0.9363 (±0.0021),0.9363 (±0.0021),0.9363 (±0.0021)
MCAR,knn,0.8025 (±0.0072),0.8024 (±0.0069),0.8025 (±0.0072),0.8017 (±0.0073)
MCAR,locf,0.9387 (±0.0043),0.9388 (±0.0042),0.9387 (±0.0043),0.9387 (±0.0043)
MNAR,gan,0.7630 (±0.0089),0.7628 (±0.0089),0.7630 (±0.0089),0.7628 (±0.0089)
MNAR,interpolated,0.9495 (±0.0035),0.9496 (±0.0035),0.9495 (±0.0035),0.9495 (±0.0035)
MNAR,knn,0.7092 (±0.0093),0.7329 (±0.0066),0.7092 (±0.0093),0.7054 (±0.0157)
MNAR,locf,0.9370 (±0.0020),0.9371 (±0.0020),0.9370 (±0.0020),0.9370 (±0.0020)
